'BOUT	B AW T
ENTWINE	EH N T W AY N
EQUALITY	IH K W AA L AH T IY
EQUALLY	IY K W AH L IY
ERA	EH R AH
ERA(2)	IH R AH
ERASE	IH R EY S
ERASE(2)	IY R EY S
EROSION	IH R OW ZH AH N
ESCAPE	IH S K EY P
ETERNAL	IH T ER N AH L
ETERNAL(2)	IY T ER N AH L
ETERNALLY	IH T ER N AH L IY
ETERNALLY(2)	IY T ER N AH L IY
ETERNITY	IH T ER N AH T IY
ETERNITY(2)	IY T ER N AH T IY
ETHER	IY TH ER
EUDORA	Y UW D AO R AH
EVEN	IY V IH N
EVENING	IY V N IH NG
EVER	EH V ER
EVERY	EH V ER IY
EVERY(2)	EH V R IY
EVERYBODY	EH V R IY B AA D IY
EVERYBODY'S	EH V R IY B AA D IY Z
EVERYONE	EH V R IY W AH N
EVERYTHING	EH V R IY TH IH NG
EVERYTHING'S	EH V R IY TH IH NG Z
EVERYWHERE	EH V R IY W EH R
EVERYWHERE(2)	EH V R IY HH W EH R
EVOLUTION	EH V AH L UW SH AH N
EVOLUTION(2)	IY V AH L UW SH AH N
EVOLUTION(3)	EH V OW L UW SH AH N
EVOLUTION(4)	IY V OW L UW SH AH N
EXCUSE	IH K S K Y UW S
EXCUSE(2)	IH K S K Y UW Z
EXCUSES	IH K S K Y UW S IH Z
EXCUSES(2)	IH K S K Y UW Z IH Z
EXHALE	EH K S HH EY L
EXIST	IH G Z IH S T
EXISTENTIAL	EH G Z IH S T EH N SH AH L
EXISTS	IH G Z IH S T S
EXORCISM	EH K S ER S IH Z AH M
EXPECTED	IH K S P EH K T AH D
EXPECTED(2)	IH K S P EH K T IH D
EXPEDIENCY	IH K S P IY D IY AH N S IY
EXPERIMENTS	IH K S P EH R AH M AH N T S
EXPLAIN	IH K S P L EY N
EXPLAINS	IH K S P L EY N Z
EXPLOSION	IH K S P L OW ZH AH N
EXPRESSING	IH K S P R EH S IH NG
EXTRAS	EH K S T R AH Z
EY	IY IY
EYE	AY
EYELIDS	AY L IH D Z
EYES	AY Z
EYESORE	AY S AO R
FACE	F EY S
FACES	F EY S AH Z
FACES(2)	F EY S IH Z
FACET	F AE S AH T
FACT	F AE K T
FADE	F EY D
FADED	F EY D AH D
FADED(2)	F EY D IH D
FADER'S	F EY D ER Z
FADING	F EY D IH NG
FAIL	F EY L
FAILED	F EY L D
FAILURE	F EY L Y ER
FAIR	F EH R
FAIRYTALE	F EH R IY T EY L
FAITH	F EY TH
FAKES	F EY K S
FALL	F AO L
FALL(2)	F AA L
FALLEN	F AA L AH N
FALLIN'	F AE L IH N
FALLING	F AA L IH NG
FALSE	F AO L S
FALTER	F AO L T ER
FAME	F EY M
FAMILY	F AE M AH L IY
FAMILY(2)	F AE M L IY
FAMOUS	F EY M AH S
FANS	F AE N Z
FAR	F AA R
FAREWELL	F EH R W EH L
FASCIN	F AE S AH N
FASCINATION	F AE S AH N EY SH AH N
FAST	F AE S T
FASTER	F AE S T ER
FATALE	F AE T EY L
FATE	F EY T
FATHER	F AA DH ER
FATHERS	F AA DH ER Z
FAULT	F AO L T
FAVORITE	F EY V ER IH T
FAVORITE(2)	F EY V R AH T
FAY	F EY
FEAR	F IH R
FEAR'S	F IH R Z
FEARS	F IH R Z
FEED	F IY D
FEEL	F IY L
FEELIN'	F IY L IH N
FEELING	F IY L IH NG
FEELING'S	F IY L IH NG Z
FEELINGS	F IY L IH NG Z
FEELS	F IY L Z
FEET	F IY T
FELL	F EH L
FELT	F EH L T
FELTS	F EH L T S
FEMALES	F IY M EY L Z
FEMME	F EH M
FEVER	F IY V ER
FICATING	F AY K EY T AH NG
FIELD	F IY L D
FIEND	F IY N D
FIERCE	F IH R S
FIERCENESS	F IH ER S N AH S
FIGHT	F AY T
FIGHTING	F AY T IH NG
FIGHTS	F AY T S
FIGURE	F IH G Y ER
FILL	F IH L
FILLED	F IH L D
FILLER	F IH L ER
FINAL	F AY N AH L
FINALLY	F AY N AH L IY
FIND	F AY N D
FINE	F AY N
FINEST	F AY N AH S T
FINGER	F IH NG G ER
FIRE	F AY ER
FIRE(2)	F AY R
FIRED	F AY ER D
FIRMLY	F ER M L IY
FIRST	F ER S T
FISHES	F IH SH AH Z
FISHES(2)	F IH SH IH Z
FIST	F IH S T
FIT	F IH T
FITS	F IH T S
FIVE	F AY V
FIX	F IH K S
FLAC	F L AE K
FLAME	F L EY M
FLASH	F L AE SH
FLASHING	F L AE SH IH NG
FLAWLESS	F L AO L AH S
FLAWS	F L AO Z
FLEE	F L IY
FLIGHT	F L AY T
FLINCHES	F L IH N CH IH Z
FLIPPING	F L IH P IH NG
FLOATED	F L OW T AH D
FLOATED(2)	F L OW T IH D
FLOATING	F L OW T IH NG
FLOODED	F L AH D AH D
FLOODED(2)	F L AH D IH D
FLOOR	F L AO R
FLOORBOARDS	F L AO R B AO R D Z
FLOORS	F L AO R Z
FLOP	F L AA P
FLOSS	F L AA S
FLOW	F L OW
FLOWER	F L AW ER
FLOWERS	F L AW ER Z
FLOWN	F L OW N
FLOWS	F L OW Z
FLUSHED	F L AH SH T
FLY	F L AY
FLYING	F L AY IH NG
FO	F OW
FOCUS	F OW K AH S
FOCUS(2)	F OW K IH S
FOE	F OW
FOLDING	F OW L D IH NG
FOLLOW	F AA L OW
FOLLOWED	F AA L OW D
FOLLOWING	F AA L OW IH NG
FOLLOWS	F AA L OW Z
FOOD	F UW D
FOOL	F UW L
FOOLISH	F UW L IH SH
FOOT	F UH T
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
FORCE	F AO R S
FORE	F AO R
FOREVER	F ER EH V ER
FORGET	F ER G EH T
FORGET(2)	F AO R G EH T
FORGIVE	F ER G IH V
FORGIVE(2)	F AO R G IH V
FORGIVEN	F ER G IH V AH N
FORGIVEN(2)	F AO R G IH V AH N
FORGOT	F ER G AA T
FORGOT(2)	F AO R G AA T
FORGOTTEN	F ER G AA T AH N
FORGOTTEN(2)	F AO R G AA T AH N
FORKING	F AO R K IH NG
FORMAT	F AO R M AE T
FORMER	F AO R M ER
FORNICATE	F AO R N AY S AH T
FORTH	F AO R TH
FORTY	F AO R T IY
FORWARD	F AO R W ER D
FOUGHT	F AO T
FOUND	F AW N D
FOUNTAIN	F AW N T AH N
FOUR	F AO R
FRAGILE	F R AE JH AH L
FRAME	F R EY M
FRAT	F R AE T
FRAUD	F R AO D
FREE	F R IY
FREEDOM	F R IY D AH M
FREQUENCY	F R IY K W AH N S IY
FRIDAY	F R AY D IY
FRIDAY(2)	F R AY D EY
FRIEND	F R EH N D
FRIENDISH	F R EH N D IH SH
FRIENDS	F R EH N D Z
FRIGHTENED	F R AY T AH N D
FRIGHTENING	F R AY T AH N IH NG
FRIGHTENING(2)	F R AY T N IH NG
FROM	F R AH M
FRONT	F R AH N T
FROST	F R AO S T
FRUITS	F R UW T S
FRUTA	F R UW T AH
FUCK	F AH K
FUCKED	F AH K T
FUCKING	F AH K IH NG
FULFILLING	F UH L F IH L IH NG
FULL	F UH L
FUN	F AH N
FUNDER	F AH N D ER
FUNERARY	F Y UW N ER EH R IY
FUNKY	F AH NG K IY
FUNNY	F AH N IY
FURITY	F Y UH R AH T IY
FUTURE	F Y UW CH ER
G	JH IY
GAGA	G AA G AH
GALE	G EY L
GAME	G EY M
GAMES	G EY M Z
GAMING	G EY M IH NG
GARAGE	G ER AA ZH
GARDEN	G AA R D AH N
GARIETY	G AH R AY AH T IY
GAS	G AE S
GATE	G EY T
GATES	G EY T S
GATHER	G AE DH ER
GATHERING	G AE DH ER IH NG
GAVE	G EY V
GAZE	G EY Z
GENERATIONS	JH EH N ER EY SH AH N Z
GENTLY	JH EH N T L IY
GEORGY	JH AO R JH IY
GERANIUM	JH ER EY N IY AH M
GET	G EH T
GET(2)	G IH T
GETS	G EH T S
GETS(2)	G IH T S
GETTING	G EH T IH NG
GETTING(2)	G IH T IH NG
GHOST	G OW S T
GHOSTS	G OW S T S
GIANT	JH AY AH N T
GIBSON	G IH B S AH N
GIFTS	G IH F T S
GIFTS(2)	G IH F S
GIRL	G ER L
GIRLS	G ER L Z
GIVE	G IH V
GIVEN	G IH V AH N
GIVEN(2)	G IH V IH N
GIVES	G IH V Z
GIVIN'	G IH V IH N
GIVING	G IH V IH NG
GLAD	G L AE D
GLASS	G L AE S
GLASSES	G L AE S AH Z
GLASSES(2)	G L AE S IH Z
GLIDE	G L AY D
GLISTENS	G L IH S AH N Z
GLOBAL	G L OW B AH L
GLORY	G L AO R IY
GLOW	G L OW
GLOWING	G L OW IH NG
GLUE	G L UW
GO	G OW
GOD	G AA D
GODLESS	G AA D L AH S
GODS	G AA D Z
GOES	G OW Z
GOING	G OW IH NG
GOING(2)	G OW IH N
GOLD	G OW L D
GOLDEN	G OW L D AH N
GOLDFISH	G OW L D F IH SH
GONE	G AO N
GONNA	G AA N AH
GOOD	G UH D
GOOD(2)	G IH D
GOODBYE	G UH D B AY
GOODBYES	G UH D B AY Z
GOODBYES(2)	G IH D B AY Z
GOONS	G UW N Z
GOSPEL	G AA S P AH L
GOSPEL(2)	G AO S P AH L
GOT	G AA T
GOT'EM	G AA T AH M
GOTTA	G AA T AH
GOTTEN	G AA T AH N
GOTTEN(2)	G AO T AH N
GOUNER	G AW N AH R
GRAB	G R AE B
GRACE	G R EY S
GRACES	G R EY S IH Z
GRAIN	G R EY N
GRANT	G R AE N T
GRANTS	G R AE N T S
GRASP	G R AE S P
GRASS	G R AE S
GRAVE	G R EY V
GRAYER	G R EY ER
GREAT	G R EY T
GREATEST	G R EY T AH S T
GREEN	G R IY N
GRENADES	G R AH N EY D Z
GREW	G R UW
GREY	G R EY
GRIM	G R IH M
GRINDING	G R AY N D IH NG
GRINNING	G R IH N IH NG
GRITTEN	G R IH T AH N
GRIZZLIES	G R IH Z L IY Z
GROANS	G R OW N Z
GROCERY	G R OW S ER IY
GROCERY(2)	G R OW S R IY
GROOVE	G R UW V
GROSS	G R OW S
GROUND	G R AW N D
GROUP	G R UW P
GROW	G R OW
GRUMPY	G R AH M P IY
GUARDIAN	G AA R D IY AH N
GUARDIANS	G AA R D IY AH N Z
GUESS	G EH S
GUIDE	G AY D
GUITARS	G IH T AA R Z
GUN	G AH N
GUT	G AH T
GUY	G AY
GYM	JH IH M
HA	HH AA
HABIT	HH AE B AH T
HAD	HH AE D
HAH	HH AA
HAIRY	HH EH R IY
HALF	HH AE F
HALLE	HH AE L
HALLE(2)	HH AE L IY
HALLELUJAH	HH AE L AH L UW Y AH
HALO	HH EY L OW
HAND	HH AE N D
HANDED	HH AE N D AH D
HANDED(2)	HH AE N D IH D
HANDLE	HH AE N D AH L
HANDS	HH AE N D Z
HANDS(2)	HH AE N Z
HANG	HH AE NG
HANGING	HH AE NG IH NG
HANGING(2)	HH AE NG G IH NG
HAPPEN	HH AE P AH N
HAPPENED	HH AE P AH N D
HAPPENS	HH AE P AH N Z
HAPPY	HH AE P IY
HARD	HH AA R D
HARDEN	HH AA R D AH N
HARDER	HH AA R D ER
HARDIHOOD	HH AA R D IY HH UH D
HARDLY	HH AA R D L IY
HARDY	HH AA R D IY
HARM	HH AA R M
HARNESS	HH AA R N AH S
HARNESS(2)	HH AA R N IH S
HAS	HH AE Z
HAS(2)	HH AH Z
HASN'T	HH AE Z AH N T
HATE	HH EY T
HATERS	HH EY T ER Z
HATES	HH EY T S
HAULING	HH AO L IH NG
HAUNTED	HH AO N T AH D
HAUNTED(2)	HH AO N T IH D
HAVE	HH AE V
HAVEN'T	HH AE V AH N T
HAVEN'T(2)	HH AE V AH N
HAVING	HH AE V IH NG
HAZE	HH EY Z
HAZY	HH EY Z IY
HE	HH IY
HE'D	HH IY D
HE'LL	HH IY L
HE'S	HH IY Z
HEAD	HH EH D
HEAD'S	HH EH D Z
HEADED	HH EH D AH D
HEADED(2)	HH EH D IH D
HEADING	HH EH D IH NG
HEADS	HH EH D Z
HEAL	HH IY L
HEALTHY	HH EH L TH IY
HEAR	HH IY R
HEARD	HH ER D
HEART	HH AA R T
HEART'S	HH AA R T S
HEARTBEAT	HH AA R T B IY T
HEARTBEATS	HH AA R T B IY T S
HEARTBREAK	HH AA R T B R EY K
HEARTLESS	HH AA R T L AH S
HEARTS	HH AA R T S
HEAT	HH IY T
HEAVEN	HH EH V AH N
HEAVENS	HH EH V AH N Z
HEAVY	HH EH V IY
HEE	HH IY
HEHEHEHE	HH EH HH AH HH AH HH
HELD	HH EH L D
HELL	HH EH L
HELLION	HH EH L Y AH N
HELLIONS	HH EH L Y AH N Z
HELLO	HH AH L OW
HELLO(2)	HH EH L OW
HELP	HH EH L P
HELPED	HH EH L P T
HELPS	HH EH L P S
HER	HH ER
HERE	HH IY R
HERE'S	HH IH R Z
HESITATE	HH EH Z AH T EY T
HEY	HH EY
HEYDY	HH EY D IY
HI	HH AY
HIDDOM	HH IH D AH M
HIDE	HH AY D
HIDIN'	HH IH D AH N
HIDING	HH AY D IH NG
HIERARCH	HH IY R AH R K
HIGH	HH AY
HIGHEST	HH AY AH S T
HIGHWAYS	HH AY W EY Z
HILL	HH IH L
HIM	HH IH M
HIM(2)	IH M
HIPS	HH IH P S
HIS	HH IH Z
HISTORY	HH IH S T ER IY
HISTORY(2)	HH IH S T R IY
HIT	HH IH T
HITS	HH IH T S
HITTING	HH IH T IH NG
HM	HH AH M
HMM	HH AH M
HO	HH OW
HOLD	HH OW L D
HOLDING	HH OW L D IH NG
HOLDS	HH OW L D Z
HOLES	HH OW L Z
HOLING	HH OW L IH NG
HOLLOW	HH AA L OW
HOLLYWOOD	HH AA L IY W UH D
HOLY	HH OW L IY
HOLYFIELD	HH OW L IY F IY L D
HOME	HH OW M
HONDA	HH AO N D AH
HONE	HH OW N
HONESTLY	AA N AH S T L IY
HONESTLY(2)	AA N AH S L IY
HONESTY	AA N AH S T IY
HONEY	HH AH N IY
HOOKS	HH UH K S
HOPE	HH OW P
HOPED	HH OW P T
HOPING	HH OW P IH NG
HORN	HH AO R N
HORNS	HH AO R N Z
HORROR	HH AO R ER
HORSE'S	HH AO R S AH Z
HORSES	HH AO R S AH Z
HORSES(2)	HH AO R S IH Z
HOSPITAL	HH AA S P IH T AH L
HOT	HH AA T
HOTEL	HH OW T EH L
HOTELS	HH OW T EH L Z
HOUR	AW ER
HOUR(2)	AW R
HOURS	AW ER Z
HOURS(2)	AW R Z
HOUSE	HH AW S
HOUSES	HH AW S AH Z
HOUSES(2)	HH AW S IH Z
HOUSEWIVES	HH AW S W AY V Z
HOW	HH AW
HOWLS	HH AW L Z
HU	HH UW
HUH	HH AH
HUMAN	HH Y UW M AH N
HUMAN(2)	Y UW M AH N
HUMANITY	HH Y UW M AE N IH T IY
HUMANITY(2)	Y UW M AE N IH T IY
HUMANKIND	HH Y UW M AH N K AY N D
HUMANS	HH Y UW M AH N Z
HUMANS(2)	Y UW M AH N Z
HUMID	HH Y UW M AH D
HUMID(2)	HH Y UW M IH D
HUMID(3)	Y UW M AH D
HUMID(4)	Y UW M IH D
HUMMING	HH AH M IH NG
HUMOR	HH Y UW M ER
HUNDREDS	HH AH N D R AH D Z
HUNDREDS(2)	HH AH N D ER D Z
HUNDREDS(3)	HH AH N ER D Z
HUNG	HH AH NG
HUNT	HH AH N T
HURT	HH ER T
HURTS	HH ER T S
HUSTLE	HH AH S AH L
HYPOCRITE	HH IH P AH K R IH T
I	AY
I'D	AY D
I'LL	AY L
I'M	AY M
I'M(2)	AH M
I'VE	AY V
IBRAHIMS	IH B R AH HH AH M Z
ICE	AY S
IDENTITY	AY D EH N T AH T IY
IDEOLOGY	AY D IY AA L AH JH IY
IF	IH F
IGNORE	IH G N AO R
ILL	IH L
IMAGINATION	IH M AE JH AH N EY SH AH N
IMPORTANT	IH M P AO R T AH N T
IMPOSSIBLE	IH M P AA S AH B AH L
IN	IH N
INCH	IH N CH
INCLINATION	IH N K L AH N EY SH AH N
INCREASING	IH N K R IY S IH NG
INDEPENDENCE	IH N D IH P EH N D AH N S
INDUSTRY	IH N D AH S T R IY
INEVITABLE	IH N EH V AH T AH B AH L
INFERNO	IH N F ER N OW
INFORMATION	IH N F AO R M EY SH AH N
INHIBITED	IH N HH IH B AH T IH D
INHUMANE	IH N HH Y UW M EY N
INJECTING	IH N JH EH K T IH NG
INK	IH NG K
INN	IH N
INNOCENT	IH N AH S AH N T
INPUT	IH N P UH T
INSANE	IH N S EY N
INSANITY	IH N S AE N AH T IY
INSANITY(2)	IH N S AE N IH T IY
INSECURITY	IH N S IH K Y UH R IH T IY
INSIDE	IH N S AY D
INSIGHTS	IH N S AY T S
INSIST	IH N S IH S T
INSPECT	IH N S P EH K T
INSPIRED	IH N S P AY ER D
INSTEAD	IH N S T EH D
INSTINCT	IH N S T IH NG K T
INSTRUCTIONS	IH N S T R AH K SH AH N Z
INTENTION	IH N T EH N CH AH N
INTEREST	IH N T AH R EH S T
INTERESTING	IH N T AH R EH S T IH NG
INTERRUPTING	IH N T ER AH P T IH NG
INTERTWINE	IH N T ER T W AY N
INTERVENTION	IH N T ER V EH N SH AH N
INTO	IH N T UW
INTO(2)	IH N T AH
INTRIGUING	IH N T R IY G IH NG
INVENTING	IH N V EH N T IH NG
INVENTION	IH N V EH N SH AH N
IRRATIONALITY	IH R AE SH AH N AE L AH T IY
IS	IH Z
ISLAND	AY L AH N D
ISN'T	IH Z AH N T
ISN'T(2)	IH Z AH N
ISSUES	IH SH UW Z
IT	IH T
IT'D	IH T AH D
IT'LL	IH T AH L
IT'LL(2)	IH T L
IT'S	IH T S
ITCHING	IH CH IH NG
ITS	IH T S
ITSELF	IH T S EH L F
J	JH EY
JABS	JH AE B Z
JACKAL	JH AE K AH L
JACKETS	JH AE K IH T S
JACKSON	JH AE K S AH N
JADED	JH EY D AH D
JADED(2)	JH EY D IH D
JAGGER	JH AE G ER
JAM	JH AE M
JANE	JH EY N
JAW	JH AO
JEANS	JH IY N Z
JESUS	JH IY Z AH S
JET	JH EH T
JOIN	JH OY N
JOKE	JH OW K
JOURNALIST	JH ER N AH L AH S T
JOURNALIST(2)	JH ER N AH L IH S T
JOURNEYS	JH ER N IY Z
JOY	JH OY
JUDGEMENT	JH AH JH M AH N T
JUMP	JH AH M P
JUNIPERS	JH UW N IH P ER Z
JUPITER	JH UW P AH T ER
JUPITER(2)	JH UW P IH T ER
JURASSIC	JH UH R AE S IH K
JURY	JH UH R IY
JUST	JH AH S T
JUST(2)	JH IH S T
JUSTICE	JH AH S T AH S
JUSTICE(2)	JH AH S T IH S
KAI	K AY
KAYDE	K EY D
KEEP	K IY P
KEEPING	K IY P IH NG
KEEPS	K IY P S
KEPT	K EH P T
KEPT(2)	K AE P T
KEROSENE	K EH R AH S IY N
KEY	K IY
KEYS	K IY Z
KICK	K IH K
KICKED	K IH K T
KICKER	K IH K ER
KICKING	K IH K IH NG
KID	K IH D
KIDS	K IH D Z
KILL	K IH L
KILLER	K IH L ER
KIND	K AY N D
KINDLY	K AY N D L IY
KINDS	K AY N D Z
KINDS(2)	K AY N Z
KING	K IH NG
KISS	K IH S
KISSABLE	K IH S AH B AH L
KISSES	K IH S AH Z
KISSES(2)	K IH S IH Z
KISSING	K IH S IH NG
KITCHENS	K IH CH AH N Z
KNEES	N IY Z
KNEW	N UW
KNEW(2)	N Y UW
KNIFE	N AY F
KNIGHT	N AY T
KNIGHTRIDDER	N AY T R IH D ER
KNIVES	N AY V Z
KNOCK	N AA K
KNOCKED	N AA K T
KNOCKING	N AA K IH NG
KNOCKS	N AA K S
KNOW	N OW
KNOWING	N OW IH NG
KNOWN	N OW N
KNOWS	N OW Z
KORAN	K AO R AA N
KUNK	K AH NG K
L	EH L
LADDER	L AE D ER
LADY	L EY D IY
LADY'S	L EY D IY Z
LAID	L EY D
LAKE	L EY K
LAMPLIGHT	L AE M P L AY T
LAMPS	L AE M P S
LAND	L AE N D
LANDSCAPE	L AE N D S K EY P
LANDSCAPE(2)	L AE N S K EY P
LARGE	L AA R JH
LARRY	L EH R IY
LASING	L AA Z IH NG
LAST	L AE S T
LATE	L EY T
LATELY	L EY T L IY
LATHER	L AE DH ER
LAUGH	L AE F
LAUGHED	L AE F T
LAUGHING	L AE F IH NG
LAUGHTER	L AE F T ER
LAUNCH	L AO N CH
LAY	L EY
LAYER	L EY ER
LAYING	L EY IH NG
LEAD	L EH D
LEAD(2)	L IY D
LEAF'S	L IY F S
LEAN	L IY N
LEANING	L IY N IH NG
LEARN	L ER N
LEARNED	L ER N D
LEARNED(2)	L ER N IH D
LEARNING	L ER N IH NG
LEAST	L IY S T
LEAVE	L IY V
LEAVES	L IY V Z
LEAVING	L IY V IH NG
LED	L EH D
LEDGE	L EH JH
LEFT	L EH F T
LEGACY	L EH G AH S IY
LESION	L IY ZH AH N
LET	L EH T
LET'EM	L EH T AH M
LET'S	L EH T S
LETS	L EH T S
LETTER	L EH T ER
LETTING	L EH T IH NG
LEVEL	L EH V AH L
LEVIATHAN	L EH V AY AH TH AH N
LEVITATE	L EH V IH T EY T
LIAR	L AY ER
LIE	L AY
LIED	L AY D
LIES	L AY Z
LIFE	L AY F
LIGHT	L AY T
LIGHTS	L AY T S
LIKE	L AY K
LIKENING	L AY K AH N IH NG
LIKES	L AY K S
LIKING	L AY K IH NG
LIMBS	L IH M Z
LINE	L AY N
LINES	L AY N Z
LINGER	L IH NG G ER
LINGER(2)	L IH NG ER
LINING	L AY N IH NG
LIPS	L IH P S
LIQUID	L IH K W AH D
LIQUID(2)	L IH K W IH D
LIQUISITION	L IH K W AH Z IH SH AH N
LIST	L IH S T
LISTEN	L IH S AH N
LISTENS	L IH S AH N Z
LIT	L IH T
LITTLE	L IH T AH L
LIVE	L AY V
LIVE(2)	L IH V
LIVED	L IH V D
LIVED(2)	L AY V D
LIVEN	L AY V AH N
LIVES	L IH V Z
LIVES(2)	L AY V Z
LIVING	L IH V IH NG
LO	L OW
LOAK	L OW K
LOCAL	L OW K AH L
LOCK	L AA K
LOCKED	L AA K T
LOCKS	L AA K S
LONELIEST	L OW N L IY AH S T
LONELINESS	L OW N L IY N AH S
LONELY	L OW N L IY
LONG	L AO NG
LONGER	L AO NG G ER
LOOK	L UH K
LOOKED	L UH K T
LOOKING	L UH K IH NG
LOOKING'	L UH K IH NG
LOOKS	L UH K S
LOOSE	L UW S
LOOSING	L UW S IH NG
LORD	L AO R D
LORDS	L AO R D Z
LOSE	L UW Z
LOSER	L UW Z ER
LOSING	L UW Z IH NG
LOSS	L AO S
LOST	L AO S T
LOT	L AA T
LOT(2)	L AO T
LOUD	L AW D
LOUDER	L AW D ER
LOUISE	L UW IY Z
LOVE	L AH V
LOVE'S	L AH V Z
LOVED	L AH V D
LOVES	L AH V Z
LOVING	L AH V IH NG
LOW	L OW
LOWEST	L OW AH S T
LOWS	L OW Z
LUCIFERS	L UW S AH F ER Z
LUCK	L AH K
LUCKY	L AH K IY
LULLABY	L AH L AH B AY
LUNCH	L AH N CH
LUNGS	L AH NG Z
LUSH	L AH SH
LUST	L AH S T
LYING	L AY IH NG
M	EH M
MA	M AA
MACHINE	M AH SH IY N
MACHINES	M AH SH IY N Z
MAD	M AE D
MADE	M EY D
MADONNA	M AH D AA N AH
MAGASINES	M AE G AH S AY N Z
MAGAZINES	M AE G AH Z IY N Z
MAGIC	M AE JH IH K
MAIL	M EY L
MAINTAIN	M EY N T EY N
MAITRE	M EY T R AH
MAKE	M EY K
MAKER	M EY K ER
MAKES	M EY K S
MAKING	M EY K IH NG
MAMET	M AE M AH T
MAN	M AE N
MANNA	M AE N AH
MANY	M EH N IY
MAP	M AE P
MAQUIS	M AE K W AH S
MARBLE	M AA R B AH L
MARCH	M AA R CH
MARGINS	M AA R JH AH N Z
MARKED	M AA R K T
MARKY	M AA R K IY
MARLEY	M AA R L IY
MARRIED	M EH R IY D
MARROW	M EH R OW
MART	M AA R T
MARVEL	M AA R V AH L
MARY	M EH R IY
MASK	M AE S K
MASKS	M AE S K S
MASS	M AE S
MAST	M AE S T
MASTER	M AE S T ER
MASTERPIECES	M AE S T ER P IY S AH Z
MASTERPIECES(2)	M AE S T ER P IY S IH Z
MATE	M EY T
MATERIAL	M AH T IH R IY AH L
MATTER	M AE T ER
MATTERS	M AE T ER Z
MAXED	M AE K S T
MAY	M EY
MAYBE	M EY B IY
ME	M IY
MEAN	M IY N
MEANING	M IY N IH NG
MEANINGFUL	M IY N IH NG F AH L
MEANS	M IY N Z
MEANT	M EH N T
MEET	M IY T
MEL	M EH L
MELEES	M EY L EY Z
MELODIES	M EH L AH D IY Z
MELODY	M EH L AH D IY
MELTED	M EH L T AH D
MELTED(2)	M EH L T IH D
MEMORIES	M EH M ER IY Z
MEMORY	M EH M ER IY
MEMPHIS	M EH M F AH S
MEMPHIS(2)	M EH M F IH S
MEMPHIS(3)	M EH M P F AH S
MEMPHIS(4)	M EH M P F IH S
MEN	M EH N
MENTAL	M EH N T AH L
MEPHISTO	M AH F IH S T OW
MERCHANTS	M ER CH AH N T S
MERCHES	M AH R CH AH Z
MESH	M EH SH
MESS	M EH S
MESSAGE	M EH S AH JH
MESSAGE(2)	M EH S IH JH
MESSING	M EH S IH NG
MET	M EH T
MH	EH M EY CH
MIC	M IH K
MICHAEL	M AY K AH L
MIGHT	M AY T
MILE	M AY L
MILK	M IH L K
MILLION	M IH L Y AH N
MILLIONS	M IH L Y AH N Z
MIME	M AY M
MINCING	M IH N S IH NG
MIND	M AY N D
MIND'S	M AY N D Z
MINE	M AY N
MINUTE	M IH N AH T
MINUTE(2)	M AY N UW T
MINUTE(3)	M AY N Y UW T
MINUTE'S	M IH N AH T S
MIRACLE	M IH R AH K AH L
MIRACLE'S	M IH R AH K AH L Z
MIRROR	M IH R ER
MISS	M IH S
MISSIN'	M IH S IH N
MISSING	M IH S IH NG
MISSION	M IH SH AH N
MISSISSIPPI	M IH S IH S IH P IY
MIST	M IH S T
MISTAKE	M IH S T EY K
MISTAKES	M IH S T EY K S
MISTER	M IH S T ER
MISTY	M IH S T IY
MIX	M IH K S
MOAN	M OW N
MOBILE	M OW B AH L
MODE	M OW D
MODIFIED	M AA D AH F AY D
MOG	M AA G
MOHAMMED	M OW HH AE M IH D
MOLD	M OW L D
MOLECULES	M AA L AH K Y UW L Z
MOMENT	M OW M AH N T
MOMENT'S	M OW M AH N T S
MONASTERY	M AA N AH S T EH R IY
MONETARY	M AA N AH T EH R IY
MONEY	M AH N IY
MONOLITH	M AA N AH L IH TH
MOON	M UW N
MOON'S	M UW N Z
MOONLIGHT	M UW N L AY T
MORE	M AO R
MORN	M AO R N
MORNER	M AO R N AH R
MORNING	M AO R N IH NG
MORNING'	M AO R N IH NG
MORTAR	M AO R T ER
MOST	M OW S T
MOST(2)	M OW S
MOTHER	M AH DH ER
MOTHERFUCKING	M AH DH ER F AH K IH NG
MOTHERS	M AH DH ER Z
MOTIVATE	M OW T AH V EY T
MOTIVES	M OW T IH V Z
MOUNTAIN	M AW N T AH N
MOUNTAIN'S	M AW N T AH N Z
MOUTH	M AW TH
MOVE	M UW V
MOVES	M UW V Z
MOVIE	M UW V IY
MOVING	M UW V IH NG
MROE	M R OW
MUCH	M AH CH
MUDDY	M AH D IY
MULTIPLICATION	M AH L T AH P L AH K EY SH AH N
MUM	M AH M
MUNDANE	M AH N D EY N
MURDER	M ER D ER
MUSCLELESS	M AH S AH L AH S
MUSIC	M Y UW Z IH K
MUST	M AH S T
MUZZLE	M AH Z AH L
MY	M AY
MYRIAD	M IH R IY AH D
MYSELF	M AY S EH L F
MYSTERIOUS	M IH S T IH R IY AH S
MYSTERY	M IH S T ER IY
N	EH N
N'	EH N
NAIL	N EY L
NAME	N EY M
NAME'S	N EY M Z
NARROW	N EH R OW
NARROW(2)	N AE R OW
NASTY	N AE S T IY
NATIVE	N EY T IH V
